city,year,pred_LR,pred_RF,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Балашиха,2024,0.2636237416861069,0.26802872155682295,526851.0,1.0,78743.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,455.6,208.1,1843.0,26.1,40126.3,84.1,4.9,186023.68
Барнаул,2024,0.3478974863755029,0.3346900397109096,623057.0,3.0,48628.0,40.87,10685.0,9.8,12761.0,6078.0,11.4,200.7,35.1,259.5,195.0,-542.0,26.92,37855.1,157.2,12.1,120538.58
Владивосток,2024,0.35758982337136225,0.3566235190690096,597237.0,3.0,82355.0,41.1,14422.0,9.0,10557.0,3952.0,11.2,158.2,27.5,365.9,178.4,-3656.0,26.29,63168.5,171.4,8.2,158864.1
Волгоград,2024,0.36511889248421503,0.3872399905432852,1018898.0,3.0,46419.0,42.5,10280.0,8.6,16695.0,5261.0,12.5,298.2,49.6,494.2,189.3,-1300.0,27.32,38841.6,238.2,7.6,103983.71
Воронеж,2024,0.431549695576409,0.4054564479687662,1046425.0,3.0,53442.0,42.99,9689.0,9.8,16288.0,4199.0,12.0,312.7,56324.0,467.5,207.6,-992.0,33.56,41968.6,264.9,5.4,105989.37
Екатеринбург,2024,0.38766921189325154,0.4246303043543254,1536183.0,3.0,64943.0,40.52,11053.0,11.6,4785.5,1966.5,10.7,401.3,88.8,543.4,217.3,-2794.0,28.91,54596.2,458.2,5.9,126117.55
Ижевск,2024,0.3145669097856716,0.3223290664253992,620591.0,3.0,52595.0,40.25,10333.0,10.0,11708.0,4327.0,10.7,189.3,47.4,525.0,180.1,-30.0,25.61,41264.6,177.5,6.9,98688.24
Иркутск,2024,0.4065515423985262,0.3968125919501243,611215.0,3.0,70628.0,38.9,12383.0,12.0,13475.0,5400.0,10.8,173.6,42342.0,539.5,191.5,-4009.0,28.11,55714.6,185.3,11.5,129077.15
Казань,2024,0.41169277502709134,0.4046587209076887,1318604.0,3.0,60830.0,40.54,9841.0,12.6,20104.0,6854.0,9.7,347.3,79.3,461.3,218.6,2679.0,27.97,47162.5,338.7,3.8,156085.98
Кемерово,2024,0.3560558770242275,0.34010824032025977,549362.0,4.0,66581.0,40.92,10653.0,9.0,13538.0,5079.0,12.2,155.8,31.3,263.4,210.2,-2560.0,27.07,49200.2,134.1,8.0,120705.04
Краснодар,2024,0.41137778103385836,0.408230877898774,1138654.0,3.0,57637.0,40.98,11675.0,15.0,15940.0,5452.0,11.0,281.3,67.6,449.5,207.3,16041.0,35.26,49353.6,292.3,7.0,132297.07
Красноярск,2024,0.43675326923336877,0.4051335035839607,1205473.0,4.0,70633.0,39.54,13321.0,11.0,21440.0,7738.0,10.2,290.5,55.0,535.4,215.5,9306.0,26.99,54634.5,278.5,11.0,125985.48
Махачкала,2024,0.23113979532776596,0.24209507356384097,622660.0,4.0,39502.0,34.35,10199.0,9.7,3976.0,2231.0,3.6,123.2,22.0,396.5,177.9,-3369.0,22.93,34527.6,106.4,11.8,66993.57
Москва,2024,0.46982379445888134,0.4324662560094016,13149803.0,3.0,160300.0,42.88,19544.0,10.8,4785.5,1966.5,11.9,93.85,18.9,576.0,218.3,41006.0,22.22,40126.3,84.1,4.1,271453.38
Набережные Челны,2024,0.28932216427664037,0.2966749956853619,545750.0,3.0,52150.0,40.54,10776.0,11.3,5877.0,2939.0,8.2,151.7,34.8,540.3,175.0,-1228.0,27.97,39994.3,130.2,3.8,156085.98
Нижний Новгород,2024,0.41125506451949123,0.40690459477431046,1204985.0,2.0,62863.0,42.33,10803.0,9.7,18848.0,5440.0,13.5,396.6,75.3,490.3,209.0,-1670.0,28.27,49747.2,387.6,5.6,134534.46
Новокузнецк,2024,0.34459748971665816,0.35068224023049716,533565.0,4.0,60908.0,40.92,10776.0,8.8,10835.0,4923.0,13.2,168.0,31.4,549.1,169.8,911.0,27.07,45912.8,127.6,8.0,120705.04
Новосибирск,2024,0.4713043001780265,0.45025598531986033,1633851.0,3.0,62686.0,40.52,12158.0,10.9,26959.0,8070.0,11.4,449.2,91.3,442.1,242.7,2040.0,29.67,49980.0,396.0,8.2,134117.09
Омск,2024,0.4007371357145356,0.39291690586581046,1104485.0,3.0,55325.0,40.95,10439.0,9.5,17934.0,7467.0,11.7,343.3,65.4,537.9,182.0,-1645.0,28.12,42690.6,286.1,9.1,123247.43
Оренбург,2024,0.3086421928214632,0.31245791522281446,539236.0,2.0,55615.0,40.93,9828.0,10.4,8876.0,3799.0,10.9,163.5,37.8,561.2,201.7,-1180.0,31.83,43080.1,156.2,9.2,94633.62
Пермь,2024,0.4083126385334883,0.3995371472574592,1026908.0,3.0,58079.0,40.35,11338.0,10.2,20421.0,7724.0,11.5,297.4,69.5,464.7,184.6,2485.0,28.03,48211.9,275.7,8.7,141639.16
Ростов-На-Дону,2024,0.33314184928807544,0.32971439493379273,1140487.0,3.0,59012.0,41.96,11011.0,10.8,4785.5,1966.5,11.9,93.85,18.9,461.3,224.6,7386.0,29.91,47431.4,278.5,7.7,111411.91
Рязань,2024,0.31863006641814906,0.31760974064890624,523203.0,3.0,52728.0,43.79,10710.0,8.9,4280.0,1873.0,12.6,169.4,27.4,177.8,175.6,798.0,34.1,41740.0,152.1,9.4,102296.78
Самара,2024,0.42101350655617387,0.4034116001989937,1158952.0,3.0,57202.0,42.16,11421.0,10.4,18457.0,6168.0,13.5,363.3,53.4,497.3,199.3,1401.0,29.56,45966.1,340.9,8.1,115311.3
Санкт-Петербург,2024,0.3555330972070364,0.3431632822743599,5597763.0,2.0,91483.0,42.52,12690.0,10.8,4785.5,1966.5,11.9,93.85,18.9,500.3,204.4,9785.0,28.09,40126.3,84.1,3.5,254034.68
Саратов,2024,0.3494217320589996,0.36535122262376996,891898.0,3.0,49452.0,42.82,9849.0,9.0,11286.0,3517.0,13.1,259.9,40.1,462.8,167.4,161.0,30.89,39080.7,222.8,10.7,92550.61
Севастополь,2024,0.2789913875210146,0.2865233415995139,558273.0,2.0,56621.0,41.17,11469.0,10.8,4785.5,1966.5,11.9,93.85,18.9,369.9,189.4,5034.0,24.3,40126.3,84.1,8.4,172224.0
Ставрополь,2024,0.27057313487801493,0.2686328818319251,550147.0,2.0,47048.0,40.37,10058.0,11.2,6728.0,2734.0,9.1,104.9,26.6,411.5,175.4,7027.0,28.64,39344.4,117.9,9.3,107525.6
Тольятти,2024,0.329479169914382,0.328477259857996,674630.0,3.0,52235.0,42.16,10776.0,8.7,9032.0,4439.0,11.3,210.5,39.6,261.2,174.8,-2872.0,29.56,40126.3,155.2,8.1,115311.3
Томск,2024,0.3370858072710122,0.32752108152564047,551504.0,4.0,63264.0,40.13,12234.0,9.2,10001.0,4051.0,9.5,137.1,30.2,169.7,168.1,-4634.0,26.98,51825.0,137.5,9.8,137450.15
Тюмень,2024,0.3632203506606704,0.37028993298624685,855618.0,2.0,79002.0,39.1,11798.0,14.1,14589.0,5078.0,8.2,183.7,59.3,490.6,181.8,2894.0,33.53,63212.4,201.8,8.4,135764.4
Ульяновск,2024,0.3265081597766524,0.32366281729996177,613334.0,3.0,46289.0,42.96,10741.0,9.6,7988.0,2921.0,11.5,202.8,36.5,232.5,205.8,729.0,31.63,36592.0,160.7,9.3,107200.11
Уфа,2024,0.40098599574981253,0.40302016838420834,1163304.0,3.0,67546.0,40.21,10025.0,10.6,21300.0,5974.0,10.5,304.7,69.8,442.5,220.7,6614.0,26.97,50656.0,313.0,7.8,128909.46
Хабаровск,2024,0.3672746029747026,0.38834484494135163,617168.0,3.0,79990.0,39.92,15666.0,11.2,10678.0,3983.0,12.2,171.5,32.8,574.2,169.7,13.0,26.22,62725.0,187.0,8.1,166354.09
Челябинск,2024,0.44076553144709996,0.399771268382732,1177058.0,4.0,55057.0,40.7,11183.0,10.7,27930.0,8331.0,11.3,331.6,81.8,517.2,204.8,-3979.0,28.44,43671.3,328.0,7.7,103308.56
Ярославль,2024,0.3013722021070171,0.3150864345861436,593958.0,2.0,54097.0,42.38,11082.0,9.5,7994.0,2547.0,13.2,184.3,37.3,496.1,158.8,-1087.0,29.58,43516.2,167.5,6.7,92441.53
